codigoCredito,codigoOficina,tipoCredito,sector,destinoCredito,fechaAperturaMin,fechaAperturaMax,montoApertura,numeroCuotas,interes,condicionCredito,esDeudor,cuentaUnica,periodos
035710055100,035,RECURRENTE,MICROEMPRESA,CTINFORMAL,2017-03-01,2017-11-09,2000.0,12,479.49,NORMAL,0,1,sem2
035710054897,035,RECURRENTE,PYMES,AFINFORMAL,2017-04-19,2017-11-09,22000.0,24,8364.84,NORMAL,1,1,sem4
035710055605,035,NUEVO,MICROEMPRESA,AFINFORMAL,2017-11-11,2017-11-11,3078.0,12,693.83,NORMAL,0,1,sem2
035710055076,035,NUEVO,MICROEMPRESA,CTINFORMAL,2017-11-09,2017-11-09,2078.0,12,655.72,VENCIDO+120DIAS,1,1,sem2
035710055142,035,RECURRENTE,PYMES,AFINFORMAL,2017-11-10,2017-11-10,25000.0,24,8631.38,NORMAL,0,1,sem4
035710055621,035,NUEVO,MICROEMPRESA,AFINFORMAL,2017-11-11,2017-11-11,8000.0,12,1621.37,NORMAL,0,1,sem2
035710055993,035,RECUPERADO,MICROEMPRESA,CTINFORMAL,2017-11-13,2017-11-13,1060.0,12,263.16,NORMAL,0,1,sem2
035710066792,035,RECURRENTE,PYMES,AFINFORMAL,2017-05-27,2017-11-30,50000.0,36,17516.63,NORMAL,0,1,sem6
035710061306,035,NUEVO,PYMES,AFINFORMAL,2017-11-23,2017-11-23,85000.0,36,22160.92,NORMAL,0,1,sem6
035710055985,035,NUEVO,MICROEMPRESA,AFINFORMAL,2017-11-13,2017-11-13,2120.0,12,807.27,VENCIDO,1,1,sem2
035710056306,035,NUEVO,MICROEMPRESA,CTINFORMAL,2017-11-15,2017-11-15,3000.0,12,670.93,NORMAL,0,1,sem2
035710056017,035,RECURRENTE,MICROEMPRESA,AFINFORMAL,2017-11-13,2017-11-13,20000.0,18,5636.55,NORMAL,1,1,sem3
035710056041,035,RECUPERADO,PYMES,AFFORMAL,2017-01-26,2018-04-24,40000.0,12,4597.92,NORMAL,1,0,sem2
035710057056,035,RECURRENTE,MICROEMPRESA,AFINFORMAL,2017-01-28,2017-11-20,8000.0,12,1673.53,NORMAL,0,1,sem2
035710057247,035,NUEVO,MICROEMPRESA,AFINFORMAL,2017-11-15,2017-11-15,3060.0,12,877.79,NORMAL,0,1,sem2
035710058120,035,RECUPERADO,CONSUMO,CONSUMO,2017-11-16,2017-11-16,3000.0,18,1559.09,VENCIDO,1,1,sem3
035710057296,035,RECUPERADO,PYMES,AFINFORMAL,2017-06-01,2017-11-16,15156.0,24,6155.47,NORMAL,0,1,sem4
035710056579,035,RECUPERADO,MICROEMPRESA,AFINFORMAL,2017-11-14,2017-11-14,2000.0,12,604.45,VENCIDO,1,1,sem2
035710056892,035,RECURRENTE,MICROEMPRESA,AFINFORMAL,2017-11-15,2017-11-15,2000.0,12,461.83,NORMAL,0,1,sem2
035710057270,035,NUEVO,MICROEMPRESA,CTINFORMAL,2017-11-21,2017-11-21,1000.0,12,249.81,NORMAL,0,1,sem2
035710057049,035,RECUPERADO,MICROEMPRESA,AFINFORMAL,2017-11-15,2018-05-31,10078.0,12,2037.66,NORMAL,0,0,sem2
035710058112,035,NUEVO,MICROEMPRESA,CTINFORMAL,2017-11-16,2017-11-16,10000.0,12,2081.8,NORMAL,0,1,sem2
035710058310,035,RECUPERADO,PYMES,CTINFORMAL,2017-11-18,2017-11-18,20000.0,12,4039.74,NORMAL,1,1,sem2
035710058146,035,NUEVO,MICROEMPRESA,CTINFORMAL,2017-11-17,2017-11-17,13000.0,12,3096.02,VENCIDO,1,1,sem2
035710058302,035,RECUPERADO,MICROEMPRESA,AFINFORMAL,2017-11-17,2017-11-17,2000.0,12,570.47,NORMAL,0,1,sem2
035710057288,035,RECURRENTE,MICROEMPRESA,AFINFORMAL,2017-03-10,2017-11-16,20000.0,24,4855.95,NORMAL,1,1,sem4
035710057254,035,RECURRENTE,MICROEMPRESA,AFINFORMAL,2017-01-25,2017-11-15,15000.0,24,4972.61,NORMAL,0,1,sem4
035710057940,035,RECURRENTE,MICROEMPRESA,AFFORMAL,2017-04-17,2017-11-16,2078.0,12,472.82,NORMAL,0,1,sem2
035710058138,035,RECUPERADO,MICROEMPRESA,AFINFORMAL,2017-11-17,2017-11-17,2000.0,12,432.68,NORMAL,0,1,sem2
035710058153,035,NUEVO,MICROEMPRESA,AFINFORMAL,2017-11-17,2017-11-17,6060.0,12,1445.92,VENCIDO,1,1,sem2
035710058849,035,NUEVO,MICROEMPRESA,AFINFORMAL,2017-11-17,2017-11-17,1500.0,12,464.1,NORMAL,0,1,sem2
035710058831,035,RECURRENTE,MICROEMPRESA,CTINFORMAL,2017-04-19,2018-04-21,3000.0,12,693.31,NORMAL,0,0,sem2
035710058906,035,NUEVO,MICROEMPRESA,AFINFORMAL,2017-11-18,2017-11-18,5000.0,12,1007.05,NORMAL,0,1,sem2
035710058872,035,RECURRENTE,PYMES,AFINFORMAL,2017-11-17,2017-11-17,20000.0,30,9574.41,NORMAL,0,1,sem5
035710058856,035,RECURRENTE,PYMES,AFINFORMAL,2017-03-03,2017-11-17,12000.0,18,3669.96,NORMAL,0,1,sem3
035710058914,035,RECUPERADO,MICROEMPRESA,CTINFORMAL,2017-11-18,2017-11-18,2000.0,12,487.45,NORMAL,0,1,sem2
035710058898,035,NUEVO,PYMES,CTINFORMAL,2017-11-18,2017-11-18,3000.0,12,731.84,NORMAL,0,1,sem2
035710059086,035,RECURRENTE,MICROEMPRESA,AFINFORMAL,2017-11-29,2018-04-05,30000.0,15,4342.26,NORMAL,0,0,sem3
035710059110,035,RECURRENTE,MICROEMPRESA,AFINFORMAL,2017-07-03,2017-11-20,1500.0,12,505.53,NORMAL,1,1,sem2
035710059938,035,NUEVO,MICROEMPRESA,AFINFORMAL,2017-11-21,2017-11-21,5000.0,12,1100.13,NORMAL,1,1,sem2
035710059094,035,NUEVO,PYMES,AFINFORMAL,2017-11-21,2017-11-21,50000.0,24,11931.0,NORMAL,0,1,sem4
035710059136,035,RECURRENTE,MICROEMPRESA,AFINFORMAL,2017-03-04,2017-11-20,2560.0,12,633.01,NORMAL,0,1,sem2
